orientation_time_list,orientation_s_list,orientation_i_list,orientation_j_list,orientation_k_list
0.003,0.9,0.3,-0.2,-0.4
0.012,0.9,0.3,-0.2,-0.4
0.117,0.9,0.3,-0.2,-0.4
0.122,0.9,0.3,-0.2,-0.4
0.132,0.9,0.3,-0.2,-0.4
0.212,0.9,0.3,-0.1,-0.3
0.221,0.9,0.3,-0.1,-0.3
0.336,0.9,0.3,-0.1,-0.3
0.357,0.9,0.2,-0.1,-0.3
0.362,0.9,0.2,-0.1,-0.3
0.426,0.9,0.2,-0.1,-0.3
0.435,0.9,0.2,-0.1,-0.3
0.51,0.9,0.2,-0.1,-0.3
0.514,0.9,0.1,-0.1,-0.3
0.524,1.0,0.0,-0.1,-0.2
0.615,1.0,-0.1,-0.1,-0.2
0.628,1.0,-0.2,-0.0,-0.2
0.732,1.0,-0.2,-0.0,-0.1
0.737,1.0,-0.3,0.0,-0.1
0.745,1.0,-0.3,0.1,-0.1
0.812,1.0,-0.3,0.1,-0.0
0.817,0.9,-0.3,0.2,0.0
0.904,0.9,-0.3,0.2,0.1
0.915,0.9,-0.3,0.3,0.1
1.016,0.9,-0.3,0.3,0.2
1.026,0.9,-0.3,0.3,0.3
1.031,0.8,-0.3,0.4,0.3
1.134,0.7,-0.4,0.4,0.4
1.143,0.7,-0.4,0.3,0.5
1.209,0.6,-0.4,0.4,0.5
1.214,0.6,-0.4,0.4,0.5
1.224,0.6,-0.4,0.4,0.6
1.314,0.6,-0.4,0.4,0.6
1.319,0.6,-0.4,0.4,0.6
1.421,0.5,-0.4,0.5,0.6
1.431,0.5,-0.4,0.5,0.6
1.439,0.5,-0.4,0.5,0.6
1.526,0.5,-0.4,0.5,0.6
1.538,0.6,-0.4,0.5,0.5
1.607,0.6,-0.4,0.5,0.5
1.621,0.6,-0.4,0.5,0.5
1.633,0.6,-0.4,0.5,0.5
1.712,0.7,-0.4,0.5,0.5
1.721,0.7,-0.4,0.4,0.4
1.805,0.7,-0.4,0.4,0.4
1.814,0.8,-0.4,0.4,0.4
1.819,0.8,-0.4,0.3,0.3
1.932,0.8,-0.4,0.3,0.3
1.952,0.8,-0.4,0.3,0.3
2.01,0.9,-0.4,0.2,0.2
2.015,0.9,-0.4,0.2,0.2
2.02,0.9,-0.4,0.2,0.2
2.118,0.9,-0.4,0.1,0.1
2.123,0.9,-0.4,0.1,0.1
2.22,0.9,-0.4,0.1,0.1
2.225,0.9,-0.4,0.2,0.1
2.243,0.9,-0.4,0.2,0.1
