gyro_time_list,gyro_x_list,gyro_y_list,gyro_z_list
0.002,0.2,0.2,0.0
0.006,-0.8,0.0,0.1
0.114,0.2,-0.1,0.0
0.117,-0.2,-0.0,0.1
0.124,-0.2,0.1,0.1
0.205,-0.2,-0.1,0.0
0.212,-0.1,0.1,0.2
0.321,-0.7,0.0,0.0
0.335,-1.7,0.1,0.3
0.348,-1.7,0.1,0.8
0.408,-5.3,0.3,1.2
0.411,-6.1,0.3,1.8
0.507,-5.9,0.1,2.5
0.513,-5.2,-0.3,2.9
0.517,-3.9,-0.3,3.3
0.627,-3.4,-0.4,3.5
0.634,-3.9,-0.2,3.3
0.711,-4.0,-0.2,3.3
0.756,-4.2,-0.4,3.4
0.768,-4.2,-0.5,3.2
0.828,-3.5,-0.6,3.2
0.835,-2.5,-0.6,3.1
0.908,-1.6,-0.4,2.9
0.911,-1.0,-0.4,2.6
0.914,-0.4,-0.3,2.1
1.011,0.2,-0.2,1.5
1.014,0.5,-0.0,0.7
1.115,0.3,0.0,0.0
1.126,-0.1,0.0,-0.5
1.136,-0.0,0.0,-0.8
1.207,0.1,0.0,-1.0
1.214,0.2,0.0,-1.0
1.305,0.3,0.0,-0.9
1.309,0.4,0.1,-0.8
1.408,0.6,0.1,-0.7
1.411,0.7,0.0,-0.6
1.414,0.6,-0.0,-0.4
1.518,0.5,-0.1,-0.3
1.529,0.5,-0.2,-0.1
1.609,0.5,-0.1,0.2
1.613,0.3,-0.2,0.4
1.62,0.3,-0.1,0.6
1.738,0.3,-0.1,0.7
1.745,0.2,-0.1,0.9
1.803,0.1,-0.1,0.9
1.81,-0.1,-0.1,1.0
1.813,-0.3,-0.0,0.9
1.926,-0.2,0.0,0.9
1.929,-0.3,-0.1,0.8
2.001,-0.5,-0.1,0.6
2.012,-0.4,-0.1,0.4
2.015,-0.3,-0.0,0.4
2.104,-0.4,0.0,0.4
2.112,-0.3,0.1,0.5
2.207,-0.2,0.1,0.5
2.213,-0.1,0.2,0.5
2.216,0.1,0.2,0.4
2.317,0.2,0.3,0.4
2.32,0.2,0.3,0.2
2.406,0.2,0.4,0.1
2.414,0.4,0.2,-0.2
2.417,0.7,0.3,-0.6
2.529,1.0,0.2,-1.0
2.533,0.9,0.0,-1.3
2.597,0.6,-0.1,-1.6
2.601,0.5,-0.2,-1.9
2.618,0.4,-0.3,-2.0
2.726,0.3,-0.2,-2.1
2.815,0.6,-0.0,-2.0
2.818,0.8,-0.1,-1.8
2.821,0.7,-0.1,-1.5
2.908,0.6,-0.1,-1.2
2.913,0.3,-0.1,-0.8
2.916,0.2,0.0,-0.3
3.016,0.4,0.1,0.3
3.019,0.3,0.0,0.9
3.103,-0.1,0.2,1.5
3.109,-0.5,0.0,2.1
3.112,-0.6,-0.0,2.3
3.209,-0.4,0.3,1.9
3.212,-0.2,0.2,1.5
3.302,-0.4,-0.3,1.3
3.31,-1.3,-0.4,0.9
3.314,-1.7,-0.2,0.6
3.445,-1.2,-0.1,0.5
3.456,-0.7,-0.1,0.5
3.512,-0.8,0.0,0.5
3.515,-0.7,0.2,0.4
3.518,-0.3,0.2,0.4
3.609,-0.1,0.3,0.4
3.613,0.0,0.4,0.5
3.723,-0.3,0.3,0.5
3.727,-0.5,0.4,0.4
3.73,-0.1,0.4,0.5
3.817,-0.1,-0.3,-0.0
3.828,-0.8,0.0,-0.5
3.903,-0.4,-0.2,-0.5
3.906,0.6,-0.1,-0.2
3.915,0.8,-0.2,-0.1
4.005,0.4,-0.1,-0.3
4.009,-0.0,-0.3,-0.3
4.102,-0.2,-0.2,-0.3
4.11,-0.1,-0.3,-0.2
4.113,-0.1,-0.2,-0.0
4.206,-0.1,0.0,0.0
4.21,0.1,0.3,-0.1
4.307,-0.4,-0.1,-0.3
4.311,-2.6,-0.5,-0.9
4.408,-3.1,-1.1,-1.1
4.411,-3.1,-1.6,-1.3
4.415,-0.5,-1.6,-1.5
4.504,1.8,-2.8,-1.0
4.511,0.1,0.6,-2.8
4.516,0.8,1.7,-2.3
4.626,2.6,1.9,-0.7
4.629,2.8,1.3,1.0
4.717,3.9,-1.4,2.3
4.72,-4.1,-3.1,2.9
4.802,1.1,-1.5,1.4
4.805,0.6,0.4,0.3
4.813,1.0,-0.0,3.0
4.917,0.8,0.3,4.7
4.92,1.1,-0.0,5.9
4.983,1.8,-0.8,6.8
4.987,6.1,2.1,8.3
4.99,6.2,3.0,7.8
5.106,15.8,1.2,4.2
5.11,18.6,3.7,6.8
5.211,1.0,-4.6,1.7
5.214,-1.2,-1.6,-0.7
5.218,-4.3,-2.5,0.3
5.326,-4.3,-0.1,0.2
5.329,0.8,0.8,0.6
5.399,0.2,1.3,-0.2
5.403,-0.3,1.9,-0.4
5.406,3.1,1.7,-1.7
5.503,2.5,2.4,-1.9
5.511,-0.2,-0.6,-2.0
5.602,1.2,-0.4,-1.0
5.612,3.3,-0.9,0.6
5.619,-3.9,-1.5,0.7
5.718,-1.3,-0.0,0.2
5.73,-1.0,0.5,0.2
5.806,-1.5,0.4,-0.2
5.815,0.5,0.7,0.4
5.819,0.4,0.6,0.5
5.909,0.3,1.0,0.1
5.912,1.0,1.1,-0.3
6.002,0.7,0.7,-0.0
6.006,0.4,0.4,0.1
6.01,-0.1,0.1,-0.0
6.12,-0.7,-0.1,-0.1
6.132,-0.5,-0.1,-0.1
6.206,0.1,-0.0,-0.0
6.209,0.1,0.1,-0.1
6.302,0.4,0.1,-0.1
6.305,0.5,0.0,-0.0
6.318,0.2,-0.0,-0.0
6.403,-0.2,0.0,-0.0
6.41,-0.4,0.1,0.0
6.52,-0.5,0.2,0.0
6.534,-0.3,0.1,0.0
6.537,-0.1,0.0,-0.0
6.614,0.1,-0.1,-0.0
6.62,0.1,-0.1,-0.0
6.711,0.0,-0.0,-0.0
6.717,0.0,0.0,0.0
6.722,-0.1,0.1,0.0
6.808,0.0,0.1,0.0
6.814,0.0,0.0,0.0
6.919,-0.1,-0.0,-0.0
6.931,-0.1,-0.0,-0.0
6.934,-0.0,-0.0,0.0
7.006,0.0,0.0,0.0
7.01,0.0,0.0,0.0
7.099,0.0,-0.0,0.0
7.103,-0.1,-0.0,-0.0
7.11,-0.1,-0.0,-0.0
7.203,-0.1,0.0,-0.0
7.211,0.0,0.0,0.0
7.31,0.1,0.0,0.0
7.313,0.1,-0.0,0.0
7.323,-0.0,-0.0,-0.0
7.403,-0.0,-0.0,-0.0
7.411,-0.1,0.0,-0.0
7.505,-0.0,0.0,0.0
7.512,0.0,0.0,0.0
7.514,0.0,-0.0,0.0
7.623,0.0,-0.0,-0.0
7.626,-0.0,-0.0,0.0
7.726,-0.0,0.0,0.0
7.729,0.0,0.0,0.0
7.732,0.0,-0.0,0.0
7.808,0.0,0.0,0.0
7.811,0.0,0.0,0.0
7.908,-0.0,-0.0,0.0
7.911,0.0,-0.0,0.0
8.015,0.0,-0.0,0.0
8.018,-0.0,0.0,0.0
8.036,-0.0,0.0,0.0
8.108,-0.0,0.0,0.0
8.111,-0.0,-0.0,-0.0
8.205,-0.0,-0.0,0.0
8.208,-0.0,0.0,0.0
8.211,0.0,0.0,0.0
8.303,-0.0,-0.0,0.0
8.305,-0.0,0.0,0.0
8.439,0.0,-0.0,0.0
8.447,0.0,-0.0,-0.0
8.461,-0.0,0.0,-0.0
8.537,-0.0,0.0,0.0
8.54,-0.0,-0.0,-0.0
8.542,-0.0,-0.0,0.0
8.611,0.0,-0.0,-0.0
8.614,0.0,-0.0,-0.0
8.706,-0.0,-0.0,-0.0
8.709,-0.0,-0.0,-0.0
8.812,-0.0,-0.0,-0.0
8.831,-0.0,-0.0,0.0
8.834,0.0,-0.0,0.0
8.909,0.2,-0.1,-0.0
8.913,-0.0,-0.1,-0.0
9.006,0.0,-0.1,-0.0
9.009,0.0,-0.4,0.1
9.012,-0.4,-0.6,0.1
9.103,-0.5,-0.4,-0.1
9.106,0.1,-0.4,-0.1
9.209,-0.4,-1.0,0.1
9.227,-2.7,-1.3,0.5
9.23,-3.1,-1.0,1.0
9.306,-5.3,-1.9,1.0
9.31,-8.7,-3.2,0.6
9.401,-8.1,-3.8,0.2
9.413,-8.7,-4.5,-1.2
9.417,-4.8,-4.8,-3.0
9.504,-4.1,-4.8,-4.0
9.511,-2.6,-4.6,-5.6
9.635,-3.0,-3.8,-6.1
9.638,-2.6,-1.6,-6.6
9.701,0.8,-1.7,-5.9
9.709,0.8,-0.8,-5.5
9.712,3.2,-1.6,-4.6
9.802,5.8,-1.1,-3.8
9.806,7.8,-2.9,-2.8
9.912,5.1,-3.0,-2.1
9.917,1.4,-2.8,-1.4
9.92,0.7,-2.2,-1.0
10.008,0.4,-2.0,-0.9
10.016,-0.2,-1.4,-0.6
10.101,-0.1,-1.1,-0.7
10.107,-0.5,-0.7,-0.7
10.11,-0.1,-0.5,-0.7
10.229,-0.6,-0.6,-0.6
10.232,-0.2,-0.4,-0.5
10.309,-0.6,-0.4,-0.4
10.319,-0.4,-0.2,-0.2
10.334,-0.4,0.0,0.0
10.407,-0.4,0.1,0.2
10.41,-0.1,0.0,0.0
10.504,-0.2,-0.1,-0.1
10.508,-0.1,-0.0,-0.2
10.511,-0.1,0.1,-0.2
10.609,0.1,0.4,0.1
10.612,-0.2,0.2,0.0
10.719,0.0,0.1,-0.0
10.724,-0.1,0.1,0.1
10.768,0.1,0.1,0.4
10.831,-0.5,0.1,-0.3
10.835,-0.4,-0.1,-0.0
10.902,-0.1,-0.0,0.2
10.907,-0.4,-0.1,0.1
10.915,-0.3,-0.1,0.2
10.993,-0.1,0.0,0.2
10.997,-0.0,0.1,0.1
11.095,-0.1,0.0,-0.1
11.106,0.3,0.2,-0.0
