orientation_time_list,orientation_s_list,orientation_i_list,orientation_j_list,orientation_k_list
0.002,0.9,-0.2,0.2,0.3
0.011,0.9,-0.2,0.2,0.3
0.11,0.9,-0.2,0.2,0.3
0.115,0.9,-0.2,0.2,0.3
0.199,0.9,-0.2,0.2,0.3
0.208,0.9,-0.2,0.2,0.3
0.217,0.9,-0.2,0.2,0.4
0.332,0.9,-0.2,0.2,0.4
0.351,0.9,-0.2,0.2,0.4
0.4,0.9,-0.2,0.2,0.4
0.41,0.9,-0.2,0.2,0.4
0.415,0.9,-0.2,0.1,0.4
0.501,0.8,-0.2,0.1,0.5
0.506,0.8,-0.2,0.1,0.5
0.601,0.8,-0.3,0.1,0.5
0.609,0.8,-0.3,0.1,0.5
0.622,0.8,-0.3,0.1,0.5
0.734,0.8,-0.3,0.1,0.5
0.739,0.8,-0.3,0.1,0.5
0.796,0.8,-0.3,0.1,0.5
0.805,0.8,-0.3,0.1,0.5
0.814,0.8,-0.3,0.1,0.5
0.901,0.8,-0.3,0.1,0.5
0.91,0.8,-0.3,0.1,0.5
0.999,0.8,-0.3,0.1,0.5
1.008,0.8,-0.3,0.1,0.5
1.013,0.8,-0.3,0.1,0.5
1.138,0.8,-0.3,0.1,0.5
1.147,0.8,-0.3,0.1,0.5
1.201,0.8,-0.3,0.1,0.5
1.206,0.8,-0.3,0.1,0.5
1.216,0.8,-0.3,0.1,0.5
1.301,0.8,-0.3,0.1,0.5
1.306,0.8,-0.3,0.1,0.5
1.399,0.8,-0.3,0.1,0.5
1.408,0.8,-0.3,0.1,0.5
1.417,0.8,-0.3,0.1,0.5
1.524,0.8,-0.3,0.1,0.5
1.529,0.8,-0.3,0.1,0.5
1.592,0.8,-0.3,0.1,0.5
1.604,0.8,-0.3,0.1,0.5
1.717,0.8,-0.3,0.1,0.5
1.722,0.8,-0.3,0.1,0.5
1.732,0.8,-0.3,0.1,0.5
1.8,0.8,-0.3,0.1,0.5
1.809,0.8,-0.3,0.1,0.5
1.921,0.8,-0.3,0.1,0.5
1.929,0.8,-0.3,0.1,0.5
1.943,0.8,-0.3,0.1,0.5
2.005,0.8,-0.3,0.1,0.5
2.01,0.8,-0.3,0.1,0.5
2.105,0.8,-0.3,0.1,0.5
2.114,0.8,-0.3,0.1,0.5
2.12,0.8,-0.3,0.1,0.5
2.213,0.8,-0.3,0.1,0.5
2.218,0.8,-0.3,0.1,0.5
2.309,0.8,-0.3,0.1,0.5
2.317,0.8,-0.3,0.1,0.5
2.322,0.8,-0.3,0.1,0.5
2.406,0.8,-0.3,0.1,0.5
2.411,0.8,-0.3,0.1,0.5
2.496,0.8,-0.3,0.1,0.5
2.501,0.8,-0.3,0.1,0.5
2.51,0.8,-0.3,0.1,0.5
2.659,0.8,-0.3,0.1,0.5
2.666,0.8,-0.3,0.1,0.5
2.721,0.8,-0.3,0.1,0.5
2.726,0.8,-0.3,0.1,0.5
2.734,0.8,-0.3,0.1,0.5
2.803,0.8,-0.3,0.1,0.5
2.816,0.8,-0.3,0.1,0.5
2.897,0.8,-0.3,0.1,0.5
2.914,0.8,-0.3,0.1,0.5
2.919,0.8,-0.3,0.1,0.5
3.026,0.8,-0.3,0.1,0.5
3.031,0.8,-0.3,0.1,0.5
3.1,0.8,-0.3,0.1,0.5
3.109,0.8,-0.3,0.1,0.5
3.114,0.8,-0.3,0.1,0.5
3.2,0.8,-0.3,0.1,0.5
3.217,0.8,-0.3,0.1,0.5
3.295,0.8,-0.3,0.1,0.5
3.3,0.8,-0.3,0.1,0.5
3.414,0.8,-0.3,0.1,0.5
3.419,0.8,-0.3,0.1,0.5
3.433,0.8,-0.3,0.1,0.5
3.502,0.8,-0.3,0.1,0.5
3.507,0.8,-0.3,0.1,0.5
3.604,0.8,-0.3,0.1,0.5
3.609,0.8,-0.3,0.1,0.5
3.614,0.8,-0.3,0.1,0.5
3.705,0.8,-0.3,0.1,0.5
3.713,0.8,-0.3,0.1,0.5
3.819,0.8,-0.3,0.1,0.5
3.83,0.8,-0.3,0.1,0.5
3.835,0.8,-0.3,0.1,0.5
3.896,0.8,-0.3,0.1,0.5
3.909,0.8,-0.3,0.1,0.5
3.997,0.8,-0.3,0.1,0.5
4.002,0.8,-0.3,0.1,0.5
4.012,0.8,-0.3,0.0,0.5
4.106,0.8,-0.3,0.0,0.5
4.111,0.8,-0.3,0.0,0.5
4.215,0.8,-0.3,0.0,0.5
4.235,0.8,-0.3,0.0,0.5
4.24,0.8,-0.3,0.0,0.5
4.303,0.8,-0.3,0.0,0.5
4.308,0.8,-0.3,0.0,0.5
4.405,0.8,-0.3,-0.0,0.5
4.414,0.8,-0.3,-0.0,0.5
4.424,0.8,-0.3,-0.0,0.4
4.5,0.8,-0.4,-0.0,0.4
4.513,0.8,-0.4,-0.0,0.4
4.617,0.8,-0.4,-0.1,0.4
4.625,0.8,-0.4,-0.1,0.4
4.63,0.8,-0.4,-0.1,0.4
4.702,0.8,-0.4,-0.1,0.4
4.707,0.8,-0.4,-0.1,0.4
4.802,0.8,-0.4,-0.1,0.4
4.814,0.8,-0.4,-0.1,0.4
4.826,0.8,-0.4,-0.1,0.4
4.909,0.8,-0.5,-0.1,0.4
4.914,0.8,-0.5,-0.1,0.4
5.015,0.8,-0.5,-0.1,0.3
5.023,0.8,-0.5,-0.2,0.3
5.108,0.9,-0.4,-0.2,0.2
5.113,0.9,-0.4,-0.2,0.2
5.123,0.9,-0.4,-0.2,0.1
5.201,0.9,-0.5,-0.2,0.1
5.206,0.9,-0.5,-0.2,0.1
5.319,0.8,-0.5,-0.2,0.1
5.324,0.8,-0.5,-0.3,0.0
5.335,0.8,-0.5,-0.3,0.0
5.402,0.8,-0.5,-0.3,0.0
5.407,0.8,-0.5,-0.4,0.0
5.493,0.8,-0.5,-0.4,0.0
5.515,0.7,-0.5,-0.5,0.0
5.52,0.7,-0.5,-0.5,-0.0
5.603,0.7,-0.5,-0.5,-0.1
5.612,0.7,-0.6,-0.5,-0.1
5.75,0.6,-0.6,-0.5,-0.1
5.759,0.6,-0.6,-0.5,-0.0
5.764,0.6,-0.6,-0.5,-0.0
5.802,0.6,-0.7,-0.5,-0.0
5.819,0.5,-0.7,-0.5,-0.0
5.9,0.5,-0.7,-0.5,-0.0
5.905,0.4,-0.8,-0.5,-0.0
5.91,0.4,-0.8,-0.5,-0.0
6.005,0.3,-0.9,-0.4,-0.0
6.014,0.3,-0.9,-0.4,-0.0
6.14,0.1,-0.9,-0.4,0.0
6.152,-0.1,-0.9,-0.4,-0.0
6.164,-0.1,-0.9,-0.4,-0.0
6.202,-0.0,-0.9,-0.4,-0.0
6.21,0.0,-0.9,-0.4,-0.0
6.297,-0.0,-0.9,-0.4,-0.0
6.302,-0.0,-0.9,-0.4,-0.0
6.312,0.0,-0.9,-0.4,0.0
6.403,0.1,-0.9,-0.4,0.0
6.408,0.1,-0.9,-0.4,0.0
6.529,0.1,-0.9,-0.4,0.0
6.533,0.1,-0.9,-0.4,0.0
6.543,0.1,-0.9,-0.4,0.0
6.6,0.1,-0.9,-0.4,0.0
6.605,0.1,-0.9,-0.4,0.0
6.7,0.1,-0.9,-0.4,0.0
6.741,0.1,-0.9,-0.4,0.0
6.78,0.1,-0.9,-0.4,0.0
6.793,0.1,-0.9,-0.4,0.0
6.798,0.1,-0.9,-0.4,0.0
6.92,0.1,-0.9,-0.4,-0.0
6.93,0.1,-0.9,-0.4,-0.0
7.007,0.1,-0.9,-0.4,-0.0
7.011,0.0,-0.9,-0.4,-0.0
7.021,0.0,-0.9,-0.4,-0.0
7.107,0.0,-0.9,-0.4,-0.0
7.124,0.0,-0.9,-0.4,-0.0
7.205,0.0,-0.9,-0.4,-0.0
7.216,0.0,-0.9,-0.4,-0.0
7.221,0.0,-0.9,-0.4,-0.0
7.319,0.0,-0.9,-0.4,-0.0
7.324,0.0,-0.9,-0.4,-0.0
7.395,0.0,-0.9,-0.4,-0.0
7.4,0.1,-0.9,-0.4,-0.0
7.418,0.1,-0.9,-0.4,-0.0
7.503,0.1,-0.9,-0.4,-0.0
7.513,0.1,-0.9,-0.4,-0.0
7.627,0.1,-0.9,-0.4,-0.0
7.634,0.1,-0.9,-0.4,-0.0
7.646,0.1,-0.9,-0.4,-0.0
7.732,0.1,-0.9,-0.4,-0.0
7.738,0.1,-0.9,-0.4,-0.0
7.801,0.1,-0.9,-0.4,-0.0
7.806,0.1,-0.9,-0.4,-0.0
7.814,0.1,-0.9,-0.4,-0.0
7.907,0.1,-0.9,-0.4,-0.0
7.912,0.1,-0.9,-0.4,-0.0
8.02,0.1,-0.9,-0.4,-0.0
8.025,0.1,-0.9,-0.4,-0.0
8.036,0.1,-0.9,-0.4,-0.0
8.113,0.1,-0.9,-0.4,-0.0
8.119,0.1,-0.9,-0.4,-0.0
8.198,0.1,-0.9,-0.4,-0.0
8.203,0.1,-0.9,-0.4,-0.0
8.212,0.1,-0.9,-0.4,-0.0
8.299,0.1,-0.9,-0.4,-0.0
8.308,0.1,-0.9,-0.4,-0.0
8.422,0.1,-0.9,-0.4,-0.0
8.444,0.1,-0.9,-0.4,-0.0
8.496,0.1,-0.9,-0.4,-0.0
8.504,0.1,-0.9,-0.4,-0.0
8.514,0.1,-0.9,-0.4,-0.0
8.6,0.1,-0.9,-0.4,-0.0
8.606,0.1,-0.9,-0.4,-0.0
8.73,0.1,-0.9,-0.4,-0.0
8.741,0.1,-0.9,-0.4,-0.0
8.754,0.1,-0.9,-0.4,-0.0
8.832,0.1,-0.9,-0.4,-0.0
8.841,0.1,-0.9,-0.4,-0.0
8.898,0.1,-0.9,-0.4,-0.0
8.903,0.1,-0.9,-0.4,-0.0
8.91,0.1,-0.9,-0.4,-0.0
9.006,0.1,-0.9,-0.4,-0.0
9.011,0.1,-0.9,-0.4,-0.0
9.099,0.1,-0.9,-0.4,-0.0
9.109,0.1,-0.9,-0.4,-0.0
9.117,0.1,-0.9,-0.4,-0.0
9.214,0.1,-0.9,-0.4,-0.0
9.227,0.1,-0.9,-0.4,-0.0
9.298,0.1,-0.9,-0.4,-0.0
9.303,0.1,-0.9,-0.4,-0.0
9.312,0.1,-0.9,-0.4,-0.0
9.405,0.1,-0.9,-0.4,-0.0
9.41,0.1,-0.9,-0.4,-0.0
9.495,0.1,-0.9,-0.4,-0.0
9.506,0.1,-0.9,-0.4,-0.0
9.512,0.1,-0.9,-0.4,-0.0
9.626,0.1,-0.9,-0.4,-0.0
9.637,0.1,-0.9,-0.4,-0.0
9.723,0.1,-0.9,-0.4,-0.0
9.735,0.1,-0.9,-0.4,-0.0
9.75,0.1,-0.9,-0.4,-0.0
9.798,0.1,-0.9,-0.4,-0.0
9.808,0.1,-0.9,-0.4,-0.0
9.923,0.1,-0.9,-0.4,-0.0
9.932,0.1,-0.9,-0.4,-0.0
10.007,0.1,-0.9,-0.4,-0.0
10.015,0.1,-0.9,-0.4,-0.0
10.028,0.1,-0.9,-0.4,-0.0
10.106,0.1,-0.9,-0.4,-0.0
10.116,0.1,-0.9,-0.4,-0.0
10.195,0.1,-0.9,-0.4,-0.0
10.2,0.1,-0.9,-0.4,-0.0
10.209,0.1,-0.9,-0.4,-0.0
10.327,0.1,-0.9,-0.4,-0.0
10.335,0.1,-0.9,-0.4,-0.0
10.402,0.1,-0.9,-0.4,-0.0
10.411,0.1,-0.9,-0.4,-0.0
10.422,0.1,-0.9,-0.4,-0.0
10.504,0.1,-0.9,-0.4,-0.0
10.509,0.1,-0.9,-0.4,-0.0
10.594,0.1,-0.9,-0.4,-0.0
10.603,0.1,-0.9,-0.4,-0.0
10.608,0.1,-0.9,-0.4,-0.0
10.745,0.1,-0.9,-0.4,-0.0
10.75,0.1,-0.9,-0.4,-0.0
10.798,0.1,-0.9,-0.4,-0.0
10.803,0.1,-0.9,-0.4,-0.0
10.808,0.1,-0.9,-0.4,-0.0
10.897,0.1,-0.9,-0.4,-0.0
10.906,0.1,-0.9,-0.4,-0.0
10.998,0.1,-0.9,-0.4,-0.0
11.01,0.1,-0.9,-0.4,-0.0
11.017,0.1,-0.9,-0.4,-0.0
11.129,0.1,-0.9,-0.4,-0.0
11.137,0.1,-0.9,-0.4,-0.0
11.2,0.1,-0.9,-0.4,-0.0
11.205,0.1,-0.9,-0.4,-0.0
11.21,0.1,-0.9,-0.4,-0.0
11.304,0.1,-0.9,-0.4,-0.0
11.316,0.1,-0.9,-0.4,-0.0
11.404,0.1,-0.9,-0.4,-0.0
11.41,0.1,-0.9,-0.4,0.0
11.419,0.2,-0.9,-0.4,0.0
11.52,0.3,-0.8,-0.4,0.1
11.531,0.5,-0.8,-0.4,0.1
11.597,0.6,-0.7,-0.4,0.1
11.603,0.6,-0.6,-0.5,0.1
11.711,0.7,-0.5,-0.5,0.1
11.718,0.7,-0.4,-0.5,0.1
11.727,0.8,-0.3,-0.6,0.1
11.799,0.8,-0.2,-0.6,0.1
11.807,0.7,-0.2,-0.6,0.0
