gyro_time_list,gyro_x_list,gyro_y_list,gyro_z_list
0.0,0.1,0.1,0.0
0.001,0.1,0.2,0.1
0.003,0.1,0.2,0.1
0.127,3.0,-0.1,-0.5
0.13,-1.0,0.5,0.2
0.135,-0.3,0.2,0.0
0.136,0.2,0.3,0.1
0.234,-0.0,0.3,0.2
0.237,-0.2,0.2,0.3
0.239,-0.1,0.1,0.3
0.24,-0.1,0.1,0.4
0.242,-0.2,0.1,0.4
0.334,-0.3,0.2,0.5
0.336,-0.3,0.2,0.5
0.339,-0.4,0.2,0.5
0.341,-0.7,0.3,0.6
0.403,-1.2,0.3,1.0
0.404,-1.5,0.4,1.2
0.406,-2.1,0.4,1.4
0.408,-2.9,0.4,1.7
0.638,-4.0,1.3,3.2
0.64,-3.9,1.4,3.4
0.641,-4.3,1.4,3.7
0.643,-5.1,1.5,3.9
0.682,-4.1,1.2,3.0
0.684,-4.0,1.3,3.2
0.685,-3.9,1.4,3.4
0.687,-4.3,1.4,3.7
0.69,-5.2,1.7,4.1
0.762,-4.7,1.7,4.2
0.764,-4.4,1.6,4.1
0.783,-4.6,1.4,4.0
0.836,-4.8,1.0,3.4
0.837,-5.0,0.7,3.0
0.839,-5.1,0.5,2.7
0.844,-4.9,0.4,2.3
0.847,-4.0,0.2,1.7
0.958,-3.3,0.2,1.5
0.961,-2.4,0.2,1.3
0.963,-1.5,0.4,1.0
1.017,0.1,0.7,0.8
1.019,0.9,0.8,0.7
1.021,1.5,0.8,0.5
1.022,1.4,0.7,0.4
1.03,0.2,0.4,0.4
1.108,0.1,0.3,0.3
1.118,0.5,0.2,0.1
1.119,1.0,0.2,-0.0
1.211,1.9,0.3,-0.3
1.213,2.2,0.3,-0.4
1.218,2.4,0.3,-0.4
1.22,2.4,0.2,-0.4
1.302,1.8,0.1,-0.3
1.303,1.7,0.1,-0.2
1.305,1.5,0.1,-0.1
1.307,1.0,0.0,-0.1
1.398,-0.5,-0.2,-0.0
1.4,-1.0,-0.2,0.1
1.401,-1.0,-0.2,0.2
1.403,-0.9,-0.2,0.2
1.512,0.2,0.0,0.1
1.521,0.4,0.1,0.1
1.529,0.5,0.1,-0.0
1.531,0.4,0.1,-0.0
1.596,0.2,0.1,-0.1
1.598,0.1,0.0,-0.0
1.599,-0.1,0.0,-0.0
1.607,-0.2,-0.0,-0.0
1.706,-0.2,-0.1,0.0
1.708,-0.2,-0.1,-0.0
1.71,-0.1,-0.1,-0.0
1.711,-0.0,-0.0,-0.1
1.825,0.3,-0.1,-0.2
1.833,0.2,-0.0,-0.1
1.835,0.1,-0.0,-0.0
1.836,0.1,-0.0,0.1
1.96,0.8,0.1,0.0
1.961,0.7,0.1,0.0
1.963,0.4,0.0,0.0
1.964,0.2,-0.0,-0.0
1.967,0.1,-0.0,-0.1
