accel_time_list,accel_x_list,accel_y_list,accel_z_list
0.0,-1.5,3.2,9.1
0.002,-1.4,3.1,8.3
0.009,-2.2,3.2,10.9
0.011,-0.4,2.6,10.2
0.128,-2.8,3.0,8.7
0.13,-1.2,2.4,8.9
0.132,-1.3,3.5,9.4
0.137,-1.7,3.0,9.2
0.23,-1.3,3.2,9.1
0.236,-1.6,3.5,9.2
0.238,-1.3,3.1,9.2
0.24,-1.5,3.0,9.2
0.327,-1.5,3.3,9.1
0.333,-1.5,3.2,9.1
0.335,-1.5,3.0,9.2
0.336,-1.5,3.0,9.2
0.412,-1.5,3.2,9.0
0.413,-1.5,3.1,9.1
0.415,-1.5,3.0,9.0
0.418,-1.6,3.0,9.0
0.509,-1.7,3.1,8.9
0.51,-1.8,3.0,8.9
0.515,-1.8,2.8,8.8
0.517,-1.9,2.8,8.8
0.608,-2.1,2.5,8.5
0.61,-2.2,2.4,8.4
0.612,-2.4,2.3,8.3
0.613,-2.6,2.1,8.1
0.728,-2.8,1.4,7.9
0.73,-2.9,1.1,7.9
0.732,-3.0,0.9,7.9
0.744,-3.0,0.8,7.8
0.833,-3.0,0.8,7.7
0.834,-3.4,0.7,7.8
0.836,-3.5,0.1,8.1
0.838,-3.6,-0.7,7.8
0.932,-4.2,-2.1,7.6
0.933,-4.7,-2.6,7.7
0.935,-4.9,-2.9,7.6
0.937,-5.1,-3.3,7.6
1.027,-5.7,-4.3,6.2
1.028,-5.9,-4.8,5.6
1.03,-6.4,-4.7,5.3
1.032,-6.8,-4.9,4.8
1.127,-7.2,-5.2,4.0
1.129,-7.6,-4.8,4.0
1.14,-8.2,-4.1,3.8
1.15,-8.8,-3.9,3.1
1.21,-9.8,-4.2,2.6
1.212,-10.4,-4.1,2.2
1.214,-11.1,-4.3,2.1
1.215,-11.8,-4.3,2.9
1.325,-12.4,-4.7,1.2
1.326,-12.2,-5.1,1.5
1.328,-11.7,-4.8,2.1
1.428,-11.3,-4.2,1.8
1.431,-10.3,-3.7,1.6
1.433,-10.0,-3.2,2.1
1.435,-9.9,-2.7,2.0
1.436,-9.6,-2.5,1.7
1.529,-9.2,-2.8,1.8
1.54,-9.4,-2.9,2.0
1.543,-9.6,-2.8,1.5
1.552,-9.4,-2.9,1.4
1.628,-9.6,-2.8,1.6
1.63,-9.9,-2.5,1.5
