vertical_Accel_x,vertical_Accel_y,vertical_Accel_z,accel_time_list
-0.8,-4.269,-8.946,0.0
-0.7,-4.323,-8.815,0.002
-0.6,-4.177,-8.985,0.004
-0.5,-4.108,-9.338,0.009
-0.7,-2.8,-8.8,0.126
-0.3,-3.508,-8.938,0.127
-0.7,-3.6,-8.9,0.129
-0.2,-4.308,-9.038,0.13
-0.1,-3.677,-9.085,0.229
-0.1,-3.415,-8.977,0.231
-0.4,-3.654,-8.769,0.232
-0.5,-4.062,-8.708,0.234
-0.9,-3.654,-8.769,0.236
-0.7,-3.692,-8.862,0.237
-0.7,-3.654,-8.769,0.239
-0.8,-3.538,-8.492,0.33
-0.6,-3.5,-8.4,0.332
-1.1,-3.423,-8.215,0.334
-0.8,-4.292,-7.962,0.335
-1.4,-4.785,-7.323,0.347
-0.9,-3.5,-7.1,0.406
-1.5,-4.177,-7.685,0.407
-1.5,-4.715,-7.677,0.409
-2.2,-5.4,-7.5,0.411
-2.4,-5.454,-7.369,0.412
-1.715,-1.577,-8.004,0.524
-1.462,1.743,-7.291,0.526
-0.592,4.989,-7.398,0.527
2.191,6.474,-6.888,0.628
2.616,5.927,-6.181,0.629
2.169,5.271,-6.08,0.631
1.995,5.924,-6.573,0.632
2.906,7.388,-6.498,0.634
3.393,7.702,-4.434,0.64
3.608,7.365,-2.614,0.727
3.125,7.502,-2.419,0.729
3.642,7.139,-2.524,0.731
2.589,6.811,-3.056,0.742
2.213,7.305,-2.898,0.752
4.838,8.223,0.311,0.809
5.336,9.328,1.149,0.811
5.157,9.586,2.977,0.813
4.299,10.225,2.534,0.814
3.619,11.02,3.147,0.816
4.121,9.894,7.26,0.925
3.934,9.23,6.755,0.926
3.179,9.506,5.64,0.928
3.043,9.687,4.719,0.93
3.026,9.972,4.191,1.028
2.728,10.562,4.557,1.029
2.545,10.577,4.685,1.031
2.16,10.502,4.847,1.038
2.13,10.451,5.123,1.04
2.087,10.464,4.904,1.041
1.941,9.763,6.123,1.126
1.873,9.958,5.418,1.128
1.737,9.711,4.711,1.134
1.575,9.284,4.424,1.144
1.598,8.874,4.394,1.146
1.742,8.626,4.226,1.227
1.744,8.853,4.133,1.229
1.382,8.726,4.246,1.231
1.79,8.849,3.851,1.236
1.753,8.735,4.065,1.238
1.416,8.447,4.747,1.326
1.327,8.642,4.682,1.328
1.139,8.537,4.317,1.329
0.988,8.605,4.265,1.331
1.051,8.732,4.252,1.333
1.141,8.763,4.223,1.428
0.905,9.116,4.216,1.434
0.997,9.011,4.391,1.436
