vertical_Accel_x,vertical_Accel_y,vertical_Accel_z,accel_time_list
1.657,-1.015,-9.436,0.0
1.098,-1.391,-9.889,0.002
0.863,-1.234,-9.897,0.004
1.15,-1.327,-10.178,0.005
0.872,-1.323,-9.395,0.151
1.918,-1.533,-9.251,0.153
1.597,-2.037,-9.734,0.158
1.625,-1.614,-9.739,0.16
1.493,-0.919,-9.713,0.234
1.661,-1.425,-9.586,0.236
1.644,-1.447,-9.49,0.238
1.658,-1.162,-9.32,0.243
1.53,-1.485,-9.416,0.325
1.622,-1.35,-9.473,0.327
1.676,-1.141,-9.417,0.328
1.545,-1.201,-9.246,0.33
1.699,-0.946,-8.745,0.407
1.109,-1.189,-8.698,0.409
-1.012,-1.248,-7.536,0.411
2.965,-2.643,-9.308,0.412
-1.698,-1.92,-8.102,0.524
-1.99,-1.998,-8.01,0.525
-0.014,-4.063,-9.686,0.53
-1.967,-2.133,-7.833,0.532
-0.361,-1.892,-8.939,0.632
-0.033,-1.967,-9.267,0.634
0.2,-1.1,-9.2,0.635
0.476,0.035,-8.876,0.637
0.712,-1.118,-9.112,0.731
0.924,-1.135,-9.324,0.733
0.843,0.769,-9.043,0.734
0.573,3.675,-9.273,0.745
0.7,-0.483,-13.768,0.825
1.2,0.086,-14.061,0.826
0.9,1.712,-13.019,0.828
1.0,3.75,-12.505,0.83
0.5,-1.1,-12.3,0.925
0.7,0.4,-12.0,0.926
0.7,0.9,-12.0,0.928
0.4,-0.2,-11.9,0.934
-0.9,0.374,-10.943,1.029
-0.8,-0.057,-10.826,1.031
-0.7,0.097,-9.57,1.032
-1.0,-0.081,-8.688,1.035
0.4,-0.848,-7.925,1.127
1.3,-1.006,-7.141,1.14
2.0,-0.753,-5.865,1.152
2.5,-1.147,-5.435,1.154
3.331,-1.693,-2.5,1.227
3.116,-1.242,-1.8,1.228
3.039,-0.614,-1.0,1.233
3.04,-0.104,-1.1,1.235
5.927,-1.418,-2.976,1.326
7.595,-0.116,-3.965,1.328
7.168,-0.096,-4.656,1.33
7.813,-1.16,-5.404,1.331
6.441,-7.819,-7.196,1.426
7.395,-8.723,-8.351,1.432
8.33,-8.848,-9.567,1.434
7.576,-11.235,-9.429,1.436
2.991,-13.92,-8.277,1.547
3.75,-14.254,-8.562,1.557
4.703,-14.227,-9.074,1.558
4.148,-14.028,-8.788,1.56
-1.322,-13.807,-5.458,1.626
-1.566,-14.122,-4.874,1.628
-2.672,-13.991,-4.768,1.629
-3.408,-12.569,-3.832,1.631
-3.373,-10.47,-4.903,1.726
-3.038,-11.622,-4.616,1.731
-3.468,-11.815,-4.053,1.733
-3.714,-11.565,-3.249,1.734
-3.8,-9.8,-3.7,1.825
-3.4,-9.3,-3.1,1.827
-2.8,-9.5,-2.3,1.829
-2.4,-9.8,-1.8,1.83
1.088,-11.841,-1.141,1.937
1.7,-12.1,0.2,1.941
2.792,-11.861,1.239,1.943
4.075,-11.773,3.027,1.945
5.576,-12.353,6.873,2.033
5.707,-11.258,3.478,2.034
4.844,-11.447,2.567,2.036
3.622,-12.974,3.934,2.037
-0.104,-8.745,2.122,2.137
-1.068,-6.744,1.626,2.139
-0.919,-7.437,2.853,2.141
2.014,-10.043,4.471,2.143
2.334,-12.735,1.988,2.23
1.189,-11.356,0.792,2.232
-1.19,-8.24,1.544,2.233
