accel_time_list,accel_x_list,accel_y_list,accel_z_list
0.201,-1.3,-1.1,9.7
0.325,-1.8,-1.6,9.6
0.6,-1.6,-0.9,8.9
0.821,-1.4,0.9,9.8
0.998,-0.6,2.7,8.7
1.2,-0.7,2.8,8.7
1.4,-2.8,1.9,7.8
1.6,-4.4,-0.7,10.0
1.802,-4.8,-4.1,6.5
1.999,-5.7,-4.8,6.4
2.206,-5.5,-4.6,6.8
2.402,-5.7,-4.1,7.1
2.607,-6.2,-2.3,7.1
2.801,-5.5,-2.7,6.7
3.002,-5.8,-2.3,7.0
3.202,-4.6,-3.3,4.4
3.402,-3.2,-9.5,-0.8
3.601,-3.7,-14.3,4.8
3.803,-7.1,8.3,8.3
4.028,-9.1,12.6,-8.0
4.208,-6.8,7.4,7.2
4.409,-5.3,7.5,1.5
4.612,-5.4,9.6,3.1
4.83,-3.3,7.7,0.1
5.051,-5.6,8.8,-0.9
5.208,-1.2,9.9,0.4
5.405,-3.9,7.5,-2.9
5.604,-4.3,9.4,-1.3
5.811,-4.1,8.4,-1.4
